1	170 128 20 18 934 
2	471 582 409 83 408 
3	39 694 284 115 616 
4	37 102 84 180 408 
5	955 1106 
6	102 37 84 180 698 
7	654 394 1010 1077 65 
8	102 68 219 367 692 
9	86 165 39 22 1170 
10	1352 112 1815 130 218 
11	846 333 42 473 705 
12	281 66 31 64 740 
13	64 31 66 281 740 
14	18 170 128 81 540 
15	156 109 667 224 73 
16	21 346 75 
17	31 66 281 740 64 
18	329 224 54 598 
19	55 18 194 155 56 
20	38 37 20 702 777 
21	425 185 50 61 318 
22	362 684 814 194 361 
23	128 170 581 56 1112 
24	1011 511 655 449 473 
25	38 483 1029 86 39 
26	131 2431 2517 199 663 
27	21 75 19 1313 998 
28	27 18 141 382 20 
29	128 230 170 31 20 
30	27 31 252 18 83 
31	955 1106 
32	30 54 204 41 221 
33	500 281 827 477 507 
34	735 55 107 977 673 
35	128 170 81 269 341 
36	102 505 386 571 454 
37	96 84 18 189 194 
38	396 74 30 152 263 
39	1264 1252 56 497 664 
40	29 138 19 970 912 
41	29 22 19 49 39 
42	109 651 41 457 186 
43	256 613 1326 38 20 
44	37 102 84 180 728 
45	113 796 277 1197 81 
46	69 539 678 271 41 
47	190 207 227 50 499 
48	21 95 1543 1520 91 
49	1107 21 1958 2256 2124 
50	66 417 573 464 2534 
51	75 21 1332 44 1968 
52	341 27 41 92 1949 
53	797 611 37 31 131 
54	37 882 27 38 823 
55	365 1013 235 142 332 
56	1088 1304 1433 624 139 
57	460 561 160 381 289 
58	18 79 250 312 277 
59	277 27 41 91 79 
60	904 22 130 78 108 
61	334 702 552 601 18 
62	22 19 86 1170 384 
63	108 22 879 384 96 
64	18 1243 502 819 324 
65	73 300 196 836 535 
66	37 250 1420 222 27 
67	66 31 64 281 740 
68	199 219 609 1031 290 
69	19 29 39 22 1158 
70	270 314 54 569 20 
71	66 64 31 281 740 
72	270 33 306 771 1643 
73	520 401 811 211 111 
74	21 75 3014 19 399 
75	568 112 195 39 174 
76	69 55 209 29 79 
77	66 227 630 341 332 
78	30 187 59 219 77 
79	79 751 256 209 605 
80	153 65 182 22 384 
81	19 40 195 96 21 
82	209 79 78 378 1674 
83	128 335 829 108 27 
84	264 54 678 311 1564 
85	21 1847 4035 607 2445 
86	22 113 39 49 278 
87	596 708 2594 1224 27 
88	397 366 438 893 315 
89	106 59 794 1017 865 
90	22 278 39 49 65 
91	258 219 954 691 33 
92	22 39 49 278 108 
93	73 196 18 79 33 
94	1212 652 157 173 92 
95	21 1836 2259 75 91 
96	131 98 74 166 518 
97	59 50 215 69 117 
98	37 2181 264 97 774 
99	560 42 450 503 204 
100	356 399 19 91 49 
101	700 27 134 824 33 
102	154 331 272 30 1699 
103	59 780 284 112 161 
104	83 721 631 206 1827 
105	22 739 724 458 325 
106	73 836 528 55 921 
107	86 22 165 19 33 
108	1121 61 85 498 1275 
109	399 690 1154 1469 1676 
110	30 283 1200 822 1465 
111	22 384 19 65 182 
112	286 39 602 294 235 
113	1403 18 1682 1751 96 
114	31 156 109 667 518 
115	229 81 59 435 184 
116	120 133 360 50 1305 
117	171 39 27 562 160 
118	268 809 294 21 39 
119	75 21 91 19 793 
120	27 540 198 1260 20 
121	542 707 30 18 314 
122	1941 131 98 97 281 
123	37 825 780 97 806 
124	37 264 576 41 106 
125	161 38 1850 659 86 
126	30 18 69 1064 415 
127	55 437 361 2604 1826 
128	358 222 387 342 1392 
129	22 108 1105 231 49 
130	38 672 476 134 337 
131	19 195 29 1137 39 
132	83 201 288 134 86 
133	335 552 864 27 109 
134	276 66 123 146 64 
135	69 392 271 168 1687 
136	37 264 423 433 56 
137	95 75 750 21 459 
138	73 196 50 337 1046 
139	691 258 1136 1297 501 
140	477 281 39 321 827 
141	182 65 286 22 313 
142	1090 269 565 571 281 
143	21 4188 2599 2746 19 
144	30 77 475 481 1712 
145	22 286 65 112 174 
146	362 684 519 748 1050 
147	86 39 1328 22 162 
148	22 850 79 65 153 
149	66 31 281 64 740 
150	1614 21 95 91 356 
151	22 49 29 197 133 
152	281 500 477 652 507 
153	1843 1941 183 222 31 
154	919 1162 29 853 1324 
155	187 139 108 313 614 
156	22 569 313 108 162 
157	22 39 670 40 879 
158	30 231 83 92 217 
159	30 498 204 50 41 
160	21 622 91 690 2211 
161	80 630 712 1273 401 
162	20 55 546 65 318 
163	65 182 39 22 231 
164	1354 1317 794 222 269 
165	1093 222 114 260 61 
166	483 1954 85 337 38 
167	343 336 42 131 85 
168	37 362 736 108 106 
169	246 33 458 358 594 
170	112 313 607 69 96 
171	231 185 966 59 393 
172	102 350 223 1298 470 
173	246 128 773 335 497 
174	50 630 1033 478 777 
175	201 822 534 2038 1474 
176	79 69 271 168 55 
177	290 41 792 276 256 
178	131 264 18 168 111 
179	22 79 65 850 568 
180	21 95 357 
181	31 66 281 64 740 
182	256 290 31 41 792 
183	86 39 1170 65 113 
184	662 217 117 371 85 
185	68 335 128 18 20 
186	130 183 332 322 1387 
187	92 655 113 30 59 
188	165 96 86 521 22 
189	1284 1914 1683 18 156 
190	258 691 38 1297 99 
191	109 1812 449 991 440 
192	21 1586 91 95 346 
193	54 884 160 684 1376 
194	84 66 1752 27 31 
195	102 246 190 753 220 
196	75 91 19 1044 21 
197	3947 97 4187 2889 189 
198	102 31 222 1672 2159 
199	113 919 545 161 109 
200	38 258 115 364 74 
201	385 20 190 918 480 
202	483 2126 337 1029 85 
203	75 21 126 2903 95 
204	1207 184 66 27 64 
205	22 126 19 21 29 
206	271 168 39 548 373 
207	2273 156 1859 250 37 
208	21 2454 2718 1750 852 
209	21 2067 1947 1677 3275 
210	22 79 850 65 568 
211	37 457 41 264 471 
212	39 1359 1189 108 384 
213	155 1213 681 290 50 
214	39 97 189 195 171 
215	563 766 1229 2624 111 
216	79 41 27 55 209 
217	37 350 31 102 68 
218	484 382 1176 54 55 
219	646 92 676 950 268 
220	112 313 96 69 607 
221	66 18 343 131 892 
222	18 27 1630 1225 497 
223	22 74 39 29 33 
224	50 713 534 916 1142 
225	18 31 33 55 598 
226	75 1470 91 1004 972 
227	55 382 484 312 64 
228	563 520 401 69 1610 
229	1046 236 1338 1310 78 
230	356 21 1116 2582 75 
231	112 22 568 39 286 
